,Date,Open_x,High_x,Low_x,Close_x,Open_y,High_y,Low_y,Close_y,Open_x,High_x,Low_x,Close_x,Open_y,High_y,Low_y,Close_y,Open_x,High_x,Low_x,Close_x,Open_y,High_y,Low_y,Close_y,Open,High,Low,Close
3,2000-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2000-01-14,8.348123333333332,8.411051666666667,8.237881666666667,8.324776666666667,4.98225,5.068833333333333,4.9125000000000005,4.978958333333334,0.7928099999999999,0.7947000000000001,0.7874133333333333,0.7944299999999999,4.882783333333333,4.938685,4.679088333333333,4.7746450000000005,4.448776666666667,4.50021,4.4101,4.447941666666667,11.845933333333335,12.14185,11.760816666666665,12.048316666666667,10.375,10.475,10.25,10.308333333333334
17,2000-01-21,8.390645,8.446613333333334,8.321373333333334,8.372861666666667,5.1762500000000005,5.329166666666667,5.152916666666667,5.2625,0.7982633333333333,0.8036066666666667,0.79551,0.7998283333333333,5.013536666666667,5.163241666666667,4.919573333333333,5.042203333333333,4.357413333333334,4.372678333333334,4.318318333333334,4.347168333333333,12.112883333333334,12.33475,12.057450000000001,12.260316666666668,10.1,10.183333333333334,9.958333333333334,10.008333333333333
24,2000-01-28,8.470578333333334,8.505365,8.39157,8.435636666666666,5.625166666666666,5.739583333333333,5.613916666666667,5.708333333333333,0.8071649999999999,0.8089999999999998,0.8054933333333333,0.8081916666666665,5.225515,5.317726666666667,5.191908333333333,5.308171666666667,4.198938333333333,4.212738333333333,4.139561666666666,4.176776666666666,12.315366666666668,12.442683333333335,12.187966666666668,12.330849999999998,9.85,10.016666666666667,9.766666666666667,9.866666666666667
31,2000-02-04,8.379665000000001,8.403319999999999,8.239428333333333,8.296636666666666,6.010958333333334,6.119583333333334,5.980791666666666,6.0929166666666665,0.81386,0.81683,0.8095399999999998,0.8117000000000001,5.377608333333334,5.489728333333333,5.355948333333334,5.4451350000000005,4.0938799999999995,4.131198333333333,4.039208333333333,4.097643333333333,11.362883333333334,11.487766666666666,11.108616666666668,11.293883333333333,9.514166666666666,9.675,9.258333333333333,9.4
38,2000-02-11,8.249635,8.282721666666667,8.160576666666666,8.188561666666667,5.780208333333333,5.880958333333333,5.544583333333333,5.623458333333333,0.8130499999999999,0.81521,0.8073816666666667,0.8106216666666666,5.966235,6.172956666666667,5.9009383333333325,6.029623333333333,3.9910200000000002,4.01109,3.900703333333334,3.933108333333333,11.175166666666668,11.332183333333333,11.041516666666666,11.19545,8.964166666666667,9.075000000000001,8.716666666666667,8.858333333333333
45,2000-02-18,7.808208333333333,7.849953333333333,7.684359999999999,7.710181666666666,5.172208333333333,5.245833333333333,5.083333333333333,5.148874999999999,0.8098116666666666,0.8111616666666666,0.8076533333333332,0.8098116666666667,6.089028333333334,6.190476666666666,6.041250000000001,6.139513333333333,3.7843549999999997,3.8040083333333334,3.6611100000000003,3.7007283333333336,10.79565,10.890066666666668,10.6579,10.7423,8.283333333333333,8.460833333333333,8.0,8.175833333333332
52,2000-02-25,7.6668899999999995,7.746516666666666,7.5854083333333335,7.629316666666667,5.00875,5.09725,4.784166666666667,4.835541666666667,0.7882266666666666,0.7882266666666666,0.7876866666666666,0.7876866666666666,6.201626666666667,6.271701666666666,6.063068333333334,6.145885,3.682853333333334,3.748605,3.593895,3.678463333333333,10.599683333333333,10.94225,10.496616666666666,10.721866666666665,8.533333333333333,8.819166666666666,8.275,8.469166666666666
59,2000-03-03,7.550155,7.605816666666667,7.461716666666667,7.4910933333333345,4.396166666666667,4.431041666666666,4.231541666666667,4.3116666666666665,0.7847166666666666,0.7860666666666667,0.7828283333333333,0.7828283333333333,6.140468333333334,6.197005,6.079791666666666,6.160216666666667,3.7713933333333336,3.8175983333333328,3.7161983333333333,3.7656450000000006,11.05665,11.195716666666668,10.854149999999999,11.020499999999998,8.208333333333334,8.325,7.9750000000000005,8.066666666666666
66,2000-03-10,7.48228,7.492638333333333,7.373584999999999,7.404508333333332,4.139208333333333,4.237125,4.027083333333334,4.13875,0.764475,0.764475,0.7579983333333332,0.7579983333333332,6.047301666666666,6.060041666666667,5.924511666666667,5.956361666666666,3.700521666666667,3.7057466666666667,3.5938950000000003,3.631318333333333,11.327333333333334,11.572016666666668,11.043700000000001,11.389766666666667,7.833333333333333,7.916666666666667,7.641666666666667,7.691666666666667
73,2000-03-17,7.257625,7.299371666666667,7.1200149999999995,7.174288333333333,4.186916666666667,4.2375,4.110416666666667,4.15875,0.7231916666666667,0.7285883333333333,0.7164466666666667,0.719145,5.665555,5.716676666666667,5.467271666666666,5.613953333333334,3.547168333333333,3.586578333333333,3.4841333333333337,3.523858333333333,12.043966666666668,12.14705,11.729633333333332,11.952950000000001,8.0,8.166666666666666,7.908333333333334,8.025
80,2000-03-24,7.431875000000001,7.514286666666667,7.348846666666666,7.446255,4.3312083333333335,4.36775,4.260416666666667,4.306791666666666,0.7113200000000001,0.7167166666666667,0.7099700000000001,0.7167166666666667,5.434623333333334,5.483996666666667,5.207835,5.3081716666666665,3.6110366666666667,3.6367533333333335,3.558353333333333,3.585531666666667,12.196550000000002,12.49975,11.960650000000001,12.287116666666668,8.391666666666667,8.5,8.200000000000001,8.283333333333333
87,2000-03-31,7.598856666666667,7.637975,7.500368333333334,7.556493333333333,4.047791666666667,4.096333333333334,3.905,3.9560833333333334,0.7129383333333333,0.7129383333333333,0.7123983333333334,0.7126683333333333,5.322026666666667,5.365503333333334,5.2396883333333335,5.317726666666666,3.598598333333333,3.650345,3.5740350000000003,3.61083,11.9583,12.135783333333334,11.745766666666666,11.9153,8.310833333333333,8.430833333333332,8.104166666666666,8.224166666666667
94,2000-04-07,7.466353333333334,7.495726666666666,7.358125,7.436976666666667,3.957708333333333,4.04,3.926458333333334,4.000416666666667,0.7096983333333334,0.7096983333333334,0.7029533333333333,0.7029533333333333,4.7934366666666675,4.90699,4.578753333333334,4.769231666666666,3.7883283333333337,3.8803183333333333,3.782265,3.845406666666667,12.1058,12.281116666666668,11.894816666666665,12.0458,7.9075,7.966666666666666,7.695833333333334,7.770833333333333
